Group,GroupType,Description,PopPct,PopPct0
A,Adndskd,asldjflsdkjflsd,12.46,0
B,laksdflksjd,sldjfaiuelajsdflskjdfsdjkflksdjfladjflakdflajdsfla,17.32,0
C,saldjflskdjfls,asdjflakdjflaksdjflkasdjflasdjflasdjfajsdflauweoial,14.90,0
D,etiuyeskd,alsdfjslkd lajsdflksdjf lasjdfldsjfla ljsdkfs,3.72,0
E,sdlfkjsdl,sjflkasdjflasjf lksjflksdjf khfkajhdfka,5.74,0
F,kashdfkajhd,skfhakjfhadfasdfaeoiuoiushfuwyebn,9.41,0
G,wqoueioqwr,iuqiepwoiqpermb asdfhsdjkf eywoiruqoww,10.20,0
H,intesnldkjfhak,muakhdkhf lasdjlkfja laksjdflaiweuj lshfaskd,6.89,0
I,bisdfiksjad lsdkjfls,akshfkjahd kashdkfahdkfhaksdkfjahdskfa kshfakdsfyweriuwy,4.89,0
J,weuyrweruw,singaksdflk ksdjsureo ksdfksjdfs,2.38,0
K,thjsadkjfa sdkfs,lasjdflkaj lskjflkasdjf wieuroiweu,3.17,0
L,owiuerijsdf lsdkjfs,spoifwpeoirdljldk lsdjflsdkjfs,6.51,0
M,alsdlkjkl iuoi,salkdjflk peirwpoei lsdjflksjdfad,2.41,0
